,gene_ids,label,Class
136,ENSG00000130066,1,n1_peripheral
137,ENSG00000081818,1,n1_peripheral
138,ENSG00000117640,1,n1_peripheral
139,ENSG00000039139,1,n1_peripheral
140,ENSG00000172594,1,n1_peripheral
141,ENSG00000027001,1,n1_peripheral
142,ENSG00000197976,1,n1_peripheral
143,ENSG00000130592,1,n1_peripheral
144,ENSG00000204237,1,n1_peripheral
145,ENSG00000049656,1,n1_peripheral
146,ENSG00000163739,1,n1_peripheral
147,ENSG00000067048,1,n1_peripheral
148,ENSG00000101353,1,n1_peripheral
149,ENSG00000138750,1,n1_peripheral
150,ENSG00000100031,1,n1_peripheral
151,ENSG00000197217,1,n1_peripheral
152,ENSG00000163354,1,n1_peripheral
153,ENSG00000170445,1,n1_peripheral
154,ENSG00000137207,1,n1_peripheral
155,ENSG00000179476,1,n1_peripheral
156,ENSG00000107566,1,n1_peripheral
157,ENSG00000207650,1,n1_peripheral
158,ENSG00000111452,1,n1_peripheral
159,ENSG00000147676,1,n1_peripheral
160,ENSG00000169972,1,n1_peripheral
161,ENSG00000133858,1,n1_peripheral
162,ENSG00000107902,1,n1_peripheral
163,ENSG00000069849,1,n1_peripheral
164,ENSG00000197579,1,n1_peripheral
165,ENSG00000204271,1,n1_peripheral
166,ENSG00000167105,1,n1_peripheral
167,ENSG00000115935,1,n1_peripheral
168,ENSG00000233822,1,n1_peripheral
169,ENSG00000165795,1,n1_peripheral
170,ENSG00000166762,1,n1_peripheral
171,ENSG00000117682,1,n1_peripheral
172,ENSG00000212127,1,n1_peripheral
173,ENSG00000197302,1,n1_peripheral
174,ENSG00000144559,1,n1_peripheral
175,ENSG00000100325,1,n1_peripheral
176,ENSG00000196371,1,n1_peripheral
177,ENSG00000125966,1,n1_peripheral
178,ENSG00000137204,1,n1_peripheral
179,ENSG00000114023,1,n1_peripheral
180,ENSG00000127337,1,n1_peripheral
181,ENSG00000176055,1,n1_peripheral
182,ENSG00000174791,1,n1_peripheral
183,ENSG00000153250,1,n1_peripheral
184,ENSG00000162736,1,n1_peripheral
185,ENSG00000164933,1,n1_peripheral
186,ENSG00000102225,1,n1_peripheral
187,ENSG00000120915,1,n1_peripheral
188,ENSG00000227057,1,n1_peripheral
189,ENSG00000186472,1,n1_peripheral
190,ENSG00000113389,1,n1_peripheral
191,ENSG00000204822,1,n1_peripheral
192,ENSG00000147889,1,n1_peripheral
193,ENSG00000014257,1,n1_peripheral
194,ENSG00000116690,1,n1_peripheral
195,ENSG00000205236,1,n1_peripheral
196,ENSG00000203791,1,n1_peripheral
197,ENSG00000122507,1,n1_peripheral
198,ENSG00000122687,1,n1_peripheral
199,ENSG00000103540,1,n1_peripheral
200,ENSG00000184897,1,n1_peripheral
201,ENSG00000119737,1,n1_peripheral
202,ENSG00000188266,1,n1_peripheral
203,ENSG00000171345,1,n1_peripheral
204,ENSG00000163961,1,n1_peripheral
205,ENSG00000141232,1,n1_peripheral
206,ENSG00000183324,1,n1_peripheral
207,ENSG00000158427,1,n1_peripheral
208,ENSG00000159217,1,n1_peripheral
209,ENSG00000020577,1,n1_peripheral
210,ENSG00000169851,1,n1_peripheral
211,ENSG00000162998,1,n1_peripheral
212,ENSG00000105088,1,n1_peripheral
213,ENSG00000072041,1,n1_peripheral
214,ENSG00000054392,1,n1_peripheral
215,ENSG00000119638,1,n1_peripheral
216,ENSG00000166839,1,n1_peripheral
217,ENSG00000168056,1,n1_peripheral
218,ENSG00000050438,1,n1_peripheral
219,ENSG00000169231,1,n1_peripheral
220,ENSG00000115425,1,n1_peripheral
221,ENSG00000186714,1,n1_peripheral
222,ENSG00000100319,1,n1_peripheral
223,ENSG00000180573,1,n1_peripheral
224,ENSG00000090554,1,n1_peripheral
225,ENSG00000162595,1,n1_peripheral
226,ENSG00000126947,1,n1_peripheral
227,ENSG00000089154,1,n1_peripheral
228,ENSG00000166263,1,n1_peripheral
229,ENSG00000182985,1,n1_peripheral
230,ENSG00000137726,1,n1_peripheral
231,ENSG00000162722,1,n1_peripheral
232,ENSG00000074582,1,n1_peripheral
233,ENSG00000059691,1,n1_peripheral
234,ENSG00000165525,1,n1_peripheral
235,ENSG00000142661,1,n1_peripheral
236,ENSG00000128891,1,n1_peripheral
237,ENSG00000116785,1,n1_peripheral
238,ENSG00000143199,1,n1_peripheral
239,ENSG00000182512,1,n1_peripheral
240,ENSG00000144744,1,n1_peripheral
241,ENSG00000213658,1,n1_peripheral
242,ENSG00000185215,1,n1_peripheral
243,ENSG00000136888,1,n1_peripheral
244,ENSG00000203392,1,n1_peripheral
245,ENSG00000176125,1,n1_peripheral
246,ENSG00000130349,1,n1_peripheral
247,ENSG00000160678,1,n1_peripheral
248,ENSG00000120756,1,n1_peripheral
249,ENSG00000113595,1,n1_peripheral
250,ENSG00000075415,1,n1_peripheral
251,ENSG00000173818,1,n1_peripheral
252,ENSG00000198912,1,n1_peripheral
253,ENSG00000179046,1,n1_peripheral
254,ENSG00000118096,1,n1_peripheral
255,ENSG00000088320,1,n1_peripheral
256,ENSG00000104824,1,n1_peripheral
257,ENSG00000125124,1,n1_peripheral
258,ENSG00000161920,1,n1_peripheral
259,ENSG00000113971,1,n1_peripheral
260,ENSG00000185201,1,n1_peripheral
261,ENSG00000172803,1,n1_peripheral
262,ENSG00000179021,1,n1_peripheral
263,ENSG00000106399,1,n1_peripheral
264,ENSG00000133422,1,n1_peripheral
265,ENSG00000169184,1,n1_peripheral
266,ENSG00000135473,1,n1_peripheral
267,ENSG00000166170,1,n1_peripheral
268,ENSG00000180447,1,n1_peripheral
269,ENSG00000092758,1,n1_peripheral
270,ENSG00000115159,1,n1_peripheral
271,ENSG00000137100,1,n1_peripheral
272,ENSG00000131725,1,n1_peripheral
273,ENSG00000182307,1,n1_peripheral
274,ENSG00000204427,1,n1_peripheral
275,ENSG00000084754,1,n1_peripheral
276,ENSG00000106772,1,n1_peripheral
277,ENSG00000104689,1,n1_peripheral
278,ENSG00000103502,1,n1_peripheral
279,ENSG00000174989,1,n1_peripheral
280,ENSG00000173698,1,n1_peripheral
281,ENSG00000196950,1,n1_peripheral
282,ENSG00000198663,1,n1_peripheral
283,ENSG00000116679,1,n1_peripheral
284,ENSG00000165810,1,n1_peripheral
285,ENSG00000095397,1,n1_peripheral
286,ENSG00000124479,1,n1_peripheral
287,ENSG00000143222,1,n1_peripheral
288,ENSG00000232013,1,n1_peripheral
289,ENSG00000005893,1,n1_peripheral
290,ENSG00000143248,1,n1_peripheral
291,ENSG00000077264,1,n1_peripheral
292,ENSG00000143786,1,n1_peripheral
293,ENSG00000134602,1,n1_peripheral
294,ENSG00000131037,1,n1_peripheral
